CountyName,gain
Adair,13.56325479459445
Adams,15.070123114400438
Allamakee,2.5044014845277105
Appanoose,1.8688192226574607
Audubon,25.3766806290096
Benton,4.547329955760327
Black Hawk,4.6359210147754055
Boone,0.2654872446155637
Bremer,3.997505191653026
Buchanan,21.65739306541126
Buena Vista,8.790216000937043
Butler,10.462547938540098
Calhoun,13.219462084118364
Carroll,40.68431371869987
Cass,5.5075189700691976
Cedar,6.907229173039387
Cerro Gordo,0.9212518840162545
Cherokee,10.679570769507837
Chickasaw,19.168789169805297
Clarke,31.166379410974848
Clay,4.034891350166099
Clayton,15.828841218340308
Clinton,-0.26039651160345206
Crawford,12.591880439737631
Dallas,0.0
Davis,19.61753788166822
Decatur,24.000628770387916
Delaware,35.86155633309889
Des Moines,0.0
Dickinson,0.6361826048018898
Dubuque,19.382443707943313
Emmet,7.251170698455896
Fayette,7.270083997798377
Floyd,7.895883696666266
Franklin,16.68183180490188
Fremont,0.05046403526012855
Greene,6.673282461748148
Grundy,7.714059714780622
Guthrie,3.9285612430843093
Hamilton,40.82910539343704
Hancock,15.614408378009681
Hardin,40.734675318904934
Harrison,0.14716468356401102
Henry,0.19757177745118892
Howard,16.362122318436484
Humboldt,4.291943179350303
Ida,3.4283036609115225
Iowa,4.674531099307476
Jackson,1.9854868885881076
Jasper,2.3568292634162527
Jefferson,1.5406079408974838
Johnson,2.2507872457059896
Jones,1.3464883872866098
Keokuk,12.011611769509166
Kossuth,23.49540136914009
Lee,0.0
Linn,0.0
Louisa,9.630523380238659
Lucas,4.338304598880389
Lyon,29.23495643588245
Madison,3.1909333928477985
Mahaska,16.34656493673185
Marion,0.0
Marshall,2.9476312281372694
Mills,0.0
Mitchell,20.029930161866375
Monona,0.8252378534682021
Monroe,2.9492087675650414
Montgomery,1.3301881380445206
Muscatine,0.843213103667501
O'Brien,26.283161104179662
Osceola,20.696374684347397
Page,0.5591374639084228
Palo Alto,17.07647604777932
Plymouth,24.804380282882818
Pocahontas,9.563207327189089
Polk,0.0
Pottawattamie,3.2025461261317707
Poweshiek,0.6660684921550089
Ringgold,-11.234274429475722
Sac,19.60533547988925
Scott,0.8865928535369128
Shelby,11.806485897633394
Sioux,66.27143353155239
Story,1.5958386448810828
Tama,1.505918264599247
Union,36.952608360333144
Van Buren,8.495174564645966
Wapello,0.6144706944592995
Warren,-0.09350200075728912
Washington,76.50174223968742
Wayne,-13.589013651191607
Webster,5.405186591339978
Winnebago,1.4011578486533471
Winneshiek,4.0772484203016015
Woodbury,1.781666333569936
Worth,0.23181908041045018
Wright,19.360895495854184
