threshold,n,counties,beta,p,zero_cross
0.25,1732,97,0.00018774361885827678,1.4314900376177775e-09,843.498748771596
0.5,1630,93,0.0001984751249201134,2.7642776956326998e-11,849.744414711281
0.75,1440,83,0.00016779986581165113,8.164580123093401e-13,829.0647294308068
