feature,importance,sd
precip_z,0.23644332723586897,0.031017320080131004
Value,0.19713830637854582,0.03224501142912263
loading_lag1,0.13177464840615283,0.017911643837190582
rowcrop_frac,0.052507225627757656,0.007752075892528666
precip_lag1,0.01329852815888157,0.005759456180554619
precipmm,0.00787079393199099,0.016666776482616774
NS,0.004347470071664528,0.007043416706288613
NS_lag1,-0.0070862349125751034,0.0055536627037871085
