feature,importance,sd
precip_z,0.27036726703523206,0.03281233672247124
Value,0.2189105022829169,0.03351111488315814
loading_lag1,0.13251145573276768,0.018037785901588818
precip_lag1,0.018393569101725425,0.005972256886767155
precipmm,0.005437129379746815,0.01469184182443832
NS,0.00472941434147471,0.0081015008862345
NS_lag1,-0.009119042623318615,0.006004413584455874
