CountyName,Year,loading_kgha,loading_kgha_fullarea,load_kg,flow_mm,months_available,mean_coverage_frac,min_coverage_frac,county_area_ha,FWMC_mgL,complete_year,load_tonnes,precipmm,mean_n_stations,NS,CN,MN,FN,GN,corng_ha,soy_ha,tile_ha,tile_frac,loading_kgha_lag1,loading_kgha_lag2,loading_kgha_lag3,NS_lag1,NS_lag2,NS_lag3,precipmm_lag1,precipmm_lag2,precipmm_lag3
Adair,2001,10.398205988708172,9.452958228591575,1395549.7973474711,223.3966050596249,12,0.7910033518901557,0.32288204601743775,147631.01281104452,4.654594453632308,True,1395.5497973474712,868.1,1.0,-6.5,57.0,11.9,55.9,131.3,99600.0,98400.0,66536.044004,0.4506915094402328,1.0666882382273764,,,-3.9,,,592.4,,
Adair,2002,1.8779807901683037,1.467315399607655,216621.2585573206,59.98161632061626,12,0.7590151314717777,0.5411570217180235,147631.01281104452,3.130927283002915,True,216.6212585573206,611.2,1.0,-15.0,55.3,12.4,74.1,156.8,105000.0,96300.0,66536.044004,0.4506915094402328,10.398205988708172,1.0666882382273764,,-6.5,-3.9,,868.1,592.4,
Adair,2003,4.2573894994136205,3.806794608850391,562000.9436682074,87.69033687517697,12,0.7750092416809667,0.33605487261259626,147631.01281104452,4.855026963203269,True,562.0009436682074,816.9,1.0,-13.0,58.4,11.3,26.4,109.1,100500.0,100600.0,66536.044004,0.4506915094402328,1.8779807901683037,10.398205988708172,1.0666882382273764,-15.0,-6.5,-3.9,611.2,868.1,592.4
Adair,2004,8.18592886625254,7.54857018846322,1114403.0621980827,180.05372870686355,12,0.8743725056094279,0.7205458937803576,147631.01281104452,4.546381196903532,True,1114.4030621980826,932.9,1.0,-15.1,65.3,10.4,86.1,176.9,106000.0,97700.0,66536.044004,0.4506915094402328,4.2573894994136205,1.8779807901683037,10.398205988708172,-13.0,-15.0,-6.5,816.9,611.2,868.1
Adair,2005,5.339194160294858,4.7838224046188165,706240.5467020422,130.52870375135558,12,0.8230969683330712,0.7205458937803576,147631.01281104452,4.090436821057765,True,706.2405467020423,657.0,1.0,-6.6,67.1,10.2,77.6,161.5,106500.0,96000.0,66536.044004,0.4506915094402328,8.18592886625254,4.2573894994136205,1.8779807901683037,-15.1,-13.0,-15.0,932.9,816.9,611.2
Adair,2006,2.3607926791722775,2.023563845023191,298740.7799285852,66.00101326761953,12,0.7889132768154999,0.7205458937803576,147631.01281104452,3.5769036902506097,True,298.7407799285852,876.6999999999999,1.0,-5.2,68.0,9.6,87.5,170.3,103300.0,101000.0,66536.044004,0.4506915094402328,5.339194160294858,8.18592886625254,4.2573894994136205,-6.6,-15.1,-13.0,657.0,932.9,816.9
Adair,2007,20.29423300842035,18.541607292476918,2737316.2637330163,391.289456020309,12,0.8765152786963525,0.33605487261259626,147631.01281104452,5.186501372878042,True,2737.3162637330165,1153.5,1.0,-10.8,65.7,8.0,83.2,167.7,115100.0,90900.0,66536.044004,0.4506915094402328,2.3607926791722775,5.339194160294858,8.18592886625254,-5.2,-6.6,-15.1,876.6999999999999,657.0,932.9
Adair,2010,20.332548818294992,18.820784020534436,2778531.406849421,576.7850598231842,12,0.9256480428857848,0.9256480428857848,147631.01281104452,3.525151782629047,True,2778.5314068494213,1155.0,1.0,-17.3,48.1,9.1,81.0,155.5,104500.0,101300.0,66536.044004,0.4506915094402328,7.473995442074747,14.276180177304058,20.29423300842035,-13.8,-3.3,-10.8,995.5,1146.1,1153.5
Adair,2011,10.812741887494767,10.000109496542644,1476326.293195935,278.1684903171847,12,0.9085561971269992,0.7205458937803576,147631.01281104452,3.887119592576937,True,1476.326293195935,819.7,1.0,36.9,107.5,9.1,83.3,163.0,109300.0,101900.0,66536.044004,0.4506915094402328,20.332548818294992,7.473995442074747,14.276180177304058,-17.3,-13.8,-3.3,1155.0,995.5,1146.1
Adair,2012,4.2123025694479255,3.878202199153067,572542.9185469876,115.56440321349085,12,0.8550851887514493,0.7205458937803576,147631.01281104452,3.644982756209298,True,572.5429185469876,811.4,1.0,47.3,105.7,9.6,53.9,121.9,104500.0,105200.0,66536.044004,0.4506915094402328,10.812741887494767,20.332548818294992,7.473995442074747,36.9,-17.3,-13.8,819.7,1155.0,995.5
