CountyName,Year,loading_kgha,months_available,mean_concentration_mgL,flow_mm,area_ha,NS,precipmm,Value,NS_lag1,NS_lag2,precip_lag1,loading_lag1,NS_precip,precip_z,Value_std
Adair,2001,10.392399704044498,12,3.6317982060077583,221.82747037498268,147693.63480283634,-6.5,868.1,164414.0,-3.9,,592.4,0.9442340196433109,-5642.650000000001,-0.24981868926638806,0.25752447919117905
Adair,2002,1.5874696266994777,12,2.4347336813263616,54.5085154824078,147693.63480283634,-15.0,611.2,164414.0,-6.5,-3.9,868.1,10.392399704044498,-9168.0,-1.4854853933000147,0.25752447919117905
Adair,2003,3.7411951174525546,12,2.874432581893642,85.55058907990639,147693.63480283634,-13.0,816.9,164414.0,-15.0,-6.5,611.2,1.5874696266994777,-10619.699999999999,-0.4960862456950441,0.25752447919117905
Adair,2004,8.200930696050094,12,3.4415393516580366,178.38971224938052,147693.63480283634,-15.1,932.9,164414.0,-13.0,-15.0,816.9,3.7411951174525546,-14086.789999999999,0.06186368683862931,0.25752447919117905
Adair,2005,5.105791988394117,12,3.0837585622549497,129.2187326659705,147693.63480283634,-6.6,657.0,164414.0,-15.1,-13.0,932.9,8.200930696050094,-4336.2,-1.265191368213444,0.25752447919117905
Adair,2006,2.100329974241487,12,3.1848885167459393,61.31467520763558,147693.63480283634,-5.2,876.6999999999999,164414.0,-6.6,-15.1,657.0,5.105791988394117,-4558.84,-0.2084534356475127,0.25752447919117905
Adair,2007,19.447452404398383,12,4.753815651754183,388.77672403619954,147693.63480283634,-10.8,1153.5,164414.0,-5.2,-6.6,876.6999999999999,2.100329974241487,-12457.800000000001,1.1229305412949084,0.25752447919117905
Adair,2008,17.046411950166416,9,3.0148861527218447,474.679890968104,147693.63480283634,-3.3,1146.1,164414.0,-10.8,-5.2,1153.5,19.447452404398383,-3782.1299999999997,1.0873371835298289,0.25752447919117905
Adair,2009,7.673552052202425,9,2.986525790710118,229.9646807574544,147693.63480283634,-13.8,995.5,164414.0,-3.3,-10.8,1146.1,17.046411950166416,-13737.900000000001,0.3629642538783532,0.25752447919117905
Adair,2010,20.201536827257954,12,3.1554633683304574,576.6571237426042,147693.63480283634,-17.3,1155.0,164414.0,-13.8,-3.3,995.5,7.673552052202425,-19981.5,1.1301454111121543,0.25752447919117905
